,ground,matches_played,country,avg_score,1st_inns_avg_score,2nd_inns_avg_score
200,"Shere Bangla National Stadium, Mirpur",260,Bangladesh,140.53,142.71,138.19
61,Dubai International Cricket Stadium,177,United Arab Emirates,146.14,147.83,144.31
180,Rawalpindi Cricket Stadium,134,Pakistan,163.01,163.07,162.95
196,Sharjah Cricket Stadium,121,United Arab Emirates,148.14,149.24,146.93
247,"Wankhede Stadium, Mumbai",101,India,166.21,165.69,166.76
65,"Edgbaston, Birmingham",100,England,159.13,162.71,155.23
5,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),94,Oman,144.1,142.76,145.61
62,"Eden Gardens, Kolkata",90,India,163.88,164.39,163.34
73,"Gaddafi Stadium, Lahore",88,Pakistan,161.04,164.71,157.09
248,"Warner Park, Basseterre, St Kitts",85,West Indies,152.61,153.78,151.3
151,"National Stadium, Karachi",76,Pakistan,164.41,165.53,163.22
231,"Trent Bridge, Nottingham",75,England,169.3,169.74,168.8
205,"Sophia Gardens, Cardiff",74,England,156.04,155.39,156.8
225,"The Rose Bowl, Southampton",73,England,152.26,155.79,148.38
105,"Kennington Oval, London",71,England,164.42,165.76,162.96
3,Adelaide Oval,68,Australia,159.26,163.22,154.98
159,"Old Trafford, Manchester",66,England,158.79,159.78,157.67
90,"Headingley, Leeds",66,England,171.1,178.81,162.88
138,Melbourne Cricket Ground,65,Australia,150.63,150.77,150.47
199,"Sheikh Zayed Stadium, Abu Dhabi",64,United Arab Emirates,141.99,141.54,142.49
256,"Zahur Ahmed Chowdhury Stadium, Chattogram",64,Bangladesh,159.88,162.35,157.21
183,"Riverside Ground, Chester-le-Street",63,England,150.97,151.11,150.81
258,"Zayed Cricket Stadium, Abu Dhabi",60,United Arab Emirates,150.38,150.07,150.73
74,"Gahanga International Cricket Stadium, Rwanda",59,Rwanda,129.67,130.09,129.15
175,"R Premadasa Stadium, Colombo",58,Sri Lanka,145.35,145.85,144.82
217,Sydney Cricket Ground,58,Australia,152.59,154.78,150.13
50,"County Ground, Northampton",57,England,164.82,167.04,162.41
48,"County Ground, Hove",57,England,161.76,161.46,162.11
79,"Grace Road, Leicester",56,England,157.45,156.23,158.89
219,Sylhet International Cricket Stadium,55,Bangladesh,150.79,151.84,149.66
20,"Bellerive Oval, Hobart",55,Australia,157.18,157.16,157.19
49,"County Ground, New Road, Worcester",54,England,165.27,165.79,164.7
46,"County Ground, Chelmsford",53,England,169.87,170.92,168.66
45,"County Ground, Bristol",53,England,160.33,160.74,159.88
213,"St Lawrence Ground, Canterbury",53,England,164.03,166.46,161.34
111,"Kingsmead, Durban",52,South Africa,148.73,150.42,146.9
167,"Providence Stadium, Guyana",52,West Indies,145.68,146.2,145.11
27,"Brisbane Cricket Ground, Woolloongabba, Brisbane",52,Australia,157.28,156.4,158.25
194,"Senwes Park, Potchefstroom",52,South Africa,141.77,143.93,139.31
135,Marsa Sports Club,51,Malta,147.0,145.26,148.98
120,"Lord's, London",50,England,163.36,169.42,156.75
212,"St George's Park, Port Elizabeth",49,South Africa,143.14,143.46,142.78
178,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",49,India,161.7,161.87,161.51
144,Multan Cricket Stadium,48,Pakistan,154.85,156.69,152.89
190,"Sawai Mansingh Stadium, Jaipur",48,India,148.29,145.28,151.69
57,"Docklands Stadium, Melbourne",48,Australia,151.68,154.39,148.77
232,"Tribhuvan University International Cricket Ground, Kirtipur",46,Nepal,161.1,166.05,155.66
92,"Holkar Cricket Stadium, Indore",45,India,156.68,152.27,161.64
47,"County Ground, Derby",45,England,156.48,156.51,156.45
171,"Queen's Park Oval, Port of Spain, Trinidad",45,West Indies,144.19,144.48,143.88
125,"MA Chidambaram Stadium, Chepauk, Chennai",43,India,149.71,154.11,145.13
25,"Brian Lara Stadium, Tarouba, Trinidad",43,West Indies,140.95,140.89,141.01
163,Perth Stadium,43,Australia,153.58,154.67,152.39
249,"West End Park International Cricket Stadium, Doha",42,Qatar,139.02,134.14,144.69
56,"Diamond Oval, Kimberley",42,South Africa,145.28,147.43,142.93
155,"Newlands, Cape Town",41,South Africa,152.72,154.38,150.93
22,"Boland Park, Paarl",41,South Africa,146.02,144.59,147.6
86,"Hagley Oval, Christchurch",40,New Zealand,153.54,154.01,153.01
223,"The Cooper Associates County Ground, Taunton",40,England,172.94,172.85,173.05
222,"Terdthai Cricket Ground, Bangkok",39,Thailand,128.57,127.89,129.42
254,"Willowmoore Park, Benoni",39,South Africa,135.66,134.21,137.24
169,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",39,India,167.53,165.2,170.03
69,"Feroz Shah Kotla, Delhi",38,India,156.89,157.59,156.12
88,Harare Sports Club,38,Zimbabwe,142.71,149.32,135.7
215,"SuperSport Park, Centurion",38,South Africa,168.73,172.4,164.6
127,"Maharashtra Cricket Association Stadium, Pune",37,India,157.34,161.64,152.75
106,"Kensington Oval, Bridgetown, Barbados",36,West Indies,147.34,150.04,144.21
123,"M Chinnaswamy Stadium, Bangalore",36,India,163.97,167.58,159.71
98,Integrated Polytechnic Regional Centre,34,Rwanda,122.28,129.86,111.98
218,Sydney Showground Stadium,32,Australia,145.51,146.92,143.78
14,"Basin Reserve, Wellington",31,New Zealand,153.11,153.72,152.45
63,"Eden Park Outer Oval, Auckland",31,New Zealand,165.24,164.8,165.73
17,"Bayuemas Oval, Kuala Lumpur",30,Malaysia,111.76,117.44,104.8
146,"Narendra Modi Stadium, Ahmedabad",30,India,169.91,169.31,170.58
132,"Manuka Oval, Canberra",29,Australia,156.82,156.15,157.59
95,"ICC Academy, Dubai",29,United Arab Emirates,138.76,142.34,134.83
161,Pallekele International Cricket Stadium,29,Sri Lanka,158.33,161.61,154.72
257,"Zahur Ahmed Chowdhury Stadium, Chittagong",29,Bangladesh,149.38,152.01,146.59
189,"Saurashtra Cricket Association Stadium, Rajkot",28,India,156.98,159.07,154.66
55,"Desert Springs Cricket Ground, Almeria",28,Spain,113.76,114.57,112.86
21,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",28,India,144.91,150.42,138.87
128,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",28,Sri Lanka,158.66,161.66,155.33
108,Kerava National Cricket Ground,28,Finland,132.77,134.65,130.48
193,"Seddon Park, Hamilton",27,New Zealand,162.64,166.84,157.88
75,Gahanga International Cricket Stadium. Rwanda,27,Rwanda,128.42,133.43,121.88
153,"New Wanderers Stadium, Johannesburg",27,South Africa,168.33,170.38,166.08
131,"Mangaung Oval, Bloemfontein",25,South Africa,133.18,131.23,135.39
80,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",25,Scotland,154.07,160.8,146.5
28,"Buffalo Park, East London",25,South Africa,156.05,150.13,162.88
124,"M Chinnaswamy Stadium, Bengaluru",25,India,180.46,180.48,180.44
228,Tikkurila Cricket Ground,24,Finland,115.03,126.94,101.08
6,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),24,Oman,147.35,156.2,137.55
15,"Bay Oval, Mount Maunganui",24,New Zealand,157.32,164.6,149.21
34,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",23,United States of America,153.84,159.02,148.01
233,"UKM-YSD Cricket Oval, Bangi",23,Malaysia,135.64,136.49,134.6
185,"Sabina Park, Kingston, Jamaica",23,West Indies,158.75,165.75,151.09
85,"Gymkhana Club Ground, Nairobi",23,Kenya,122.99,122.42,123.68
24,"Bready Cricket Club, Magheramason, Bready",22,Ireland,145.22,146.18,144.17
226,"The Village, Malahide, Dublin",22,Ireland,150.36,151.59,148.99
236,"University Oval, Dunedin",21,New Zealand,173.73,170.99,176.87
246,"Wanderers Cricket Ground, Windhoek",21,Namibia,134.9,140.59,128.0
140,"Mission Road Ground, Mong Kok, Hong Kong",21,Hong Kong,144.38,157.52,129.77
64,"Eden Park, Auckland",21,New Zealand,172.86,173.1,172.59
58,"Dr DY Patil Sports Academy, Mumbai",20,India,158.0,161.02,154.87
141,"Moara Vlasiei Cricket Ground, Ilfov County",20,Romania,143.96,147.17,140.45
220,"Tafawa Balewa Square Cricket Oval, Lagos",20,Nigeria,97.57,99.92,94.86
51,"County Ground, Taunton",20,England,171.14,168.25,174.22
97,"Indian Association Ground, Singapore",19,Singapore,152.28,153.46,151.01
235,"United Cricket Club Ground, Windhoek",19,Namibia,132.95,137.2,127.99
23,"Brabourne Stadium, Mumbai",19,India,170.87,172.14,169.5
227,"The Wanderers Stadium, Johannesburg",19,South Africa,165.49,168.81,161.63
31,Carrara Oval,19,Australia,155.01,156.9,153.02
7,"Amini Park, Port Moresby",18,Papua New Guinea,121.81,130.06,111.47
9,"Arun Jaitley Stadium, Delhi",18,India,182.53,187.23,177.69
181,"Recreation Ground, Oudtshoorn",18,South Africa,139.58,141.34,137.5
112,"Kinrara Academy Oval, Kuala Lumpur",18,Malaysia,142.42,145.17,139.26
250,"Western Australia Cricket Association Ground, Perth",18,Australia,145.7,143.27,148.39
38,"Civil Service Cricket Club, Stormont, Belfast",18,Ireland,137.21,137.11,137.34
149,"National Sports Academy, Sofia",18,Bulgaria,155.09,138.66,178.85
16,Bayer Uerdingen Cricket Ground,18,Germany,128.63,128.47,128.8
100,"Iqbal Stadium, Faisalabad",17,Pakistan,148.06,154.01,141.7
174,"Queens Sports Club, Bulawayo",17,Zimbabwe,134.35,145.05,123.24
186,Sano International Cricket Ground,16,Japan,125.09,145.99,95.32
234,Udayana Cricket Ground,16,Indonesia,129.77,126.33,133.79
136,"McLean Park, Napier",16,New Zealand,166.4,176.4,155.12
162,"Pembroke Cricket Club, Sandymount, Dublin",15,Ireland,166.61,158.21,176.91
168,"Pukekura Park, New Plymouth",15,New Zealand,174.72,176.21,173.13
192,"Scott Page Field, Vinor",15,Czech Republic,141.8,139.52,144.31
59,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",15,India,150.6,157.32,143.05
68,Europa Sports Complex,15,Gibraltar,133.84,130.52,137.75
52,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",15,West Indies,152.78,157.4,147.7
37,"City Oval, Pietermaritzburg",15,South Africa,149.97,155.11,144.55
101,"JSCA International Stadium Complex, Ranchi",15,India,158.46,153.59,165.26
252,"White Hill Field, Sandys Parish",14,Bermuda,125.88,122.7,129.8
72,"GMHBA Stadium, South Geelong, Victoria",13,Australia,130.97,135.9,125.64
91,"Himachal Pradesh Cricket Association Stadium, Dharamsala",13,India,165.87,170.66,160.51
143,Mulpani Cricket Ground,13,Nepal,141.86,141.2,142.58
78,"Goldenacre, Edinburgh",13,Scotland,140.62,146.48,133.41
43,"Coolidge Cricket Ground, Antigua",12,West Indies,129.72,132.69,126.06
243,Vanuatu Cricket Ground,12,Vanuatu,137.02,136.01,138.13
184,"Royal Brussels Cricket Club Ground, Waterloo",12,Belgium,140.8,142.85,138.57
245,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",12,India,134.56,138.82,129.95
42,"College Ground, Cheltenham",12,England,158.2,157.51,159.13
115,La Manga Club Bottom Ground,11,Spain,107.84,95.36,124.03
188,"Sardar Patel Stadium, Motera, Ahmedabad",11,India,147.16,141.89,152.88
54,"Darren Sammy National Cricket Stadium, Gros Islet, St Lucia",11,West Indies,160.49,161.94,158.8
216,"Svanholm Park, Brondby",11,Denmark,117.02,120.55,113.0
110,"King George V Sports Ground, Castel",11,Guernsey,121.96,130.99,111.58
211,"St George's Park, Gqeberha",11,South Africa,152.69,156.05,148.95
29,Bulawayo Athletic Club,10,Zimbabwe,140.26,140.98,139.49
224,"The Green, Comber",10,Ireland,151.11,142.07,162.16
142,"Molyneux Park, Alexandra",10,New Zealand,150.43,150.67,150.17
109,"Khan Shaheb Osman Ali Stadium, Fatullah",10,Bangladesh,148.2,149.73,146.6
0,"Abhimanyu Cricket Academy, Dehradun",10,India,135.59,142.35,128.07
67,Entebbe Cricket Oval,9,Uganda,123.48,128.46,117.66
53,"Darren Sammy National Cricket Stadium, Gros Islet",9,West Indies,157.06,151.46,163.5
251,"Westpac Stadium, Wellington",9,New Zealand,156.99,165.87,147.14
202,"Sir Vivian Richards Stadium, North Sound, Antigua",9,West Indies,127.77,128.18,127.28
176,"Radlett Cricket Club, Radlett",8,England,176.62,169.72,184.29
198,"Sheikh Zayed Stadium Nursery 1, Abu Dhabi",8,United Arab Emirates,130.23,122.0,141.48
87,Happy Valley Ground,8,Cyprus,123.81,118.73,130.12
179,Rangiri Dambulla International Stadium,7,Sri Lanka,164.11,165.89,162.26
182,"Reliance Stadium, Vadodara",7,India,148.8,144.91,152.98
172,"Queen's Park, Chesterfield",7,England,159.02,162.33,155.04
209,"Sportpark Westvliet, The Hague",7,Netherlands,142.19,144.99,139.08
207,"Sportpark Het Schootsveld, Deventer",7,Netherlands,145.73,139.07,153.27
259,Zhejiang University of Technology Cricket Field,7,China,126.3,136.84,111.33
41,"College Field, St Peter Port",7,Guernsey,129.41,125.3,134.47
113,"Kyambogo Cricket Oval, Kampala",7,Uganda,124.15,118.58,131.24
107,"Kent County Cricket Ground, Beckenham",7,England,162.6,158.87,166.52
60,Dreux Sport Cricket Club,7,France,131.88,129.89,134.18
11,"Aurora Stadium, Launceston",7,Australia,148.55,149.96,146.78
150,"National Stadium, Hamilton",7,Bermuda,119.83,134.55,98.8
148,"National Cricket Stadium, St George's, Grenada",7,West Indies,159.93,161.76,158.03
13,"Barsapara Cricket Stadium, Guwahati",6,India,173.78,174.79,172.72
81,"Greater Noida Sports Complex Ground, Greater Noida",6,India,169.48,171.29,167.38
241,Uxbridge Cricket Club Ground,6,England,169.84,167.97,172.01
242,"VRA Ground, Amstelveen",6,Netherlands,143.74,154.05,132.29
89,"Hazelaarweg, Rotterdam",6,Netherlands,144.08,150.08,138.01
1,"Achimota Senior Secondary School A Field, Accra",6,Ghana,127.03,151.07,101.13
137,"Meersen, Gent",6,Belgium,135.79,127.66,146.4
239,University of Lagos Cricket Oval,6,Nigeria,90.33,97.12,83.03
2,"Achimota Senior Secondary School B Field, Accra",6,Ghana,117.4,124.64,108.96
177,"Rajiv Gandhi International Cricket Stadium, Dehradun",6,India,157.16,165.44,148.68
84,Gucherre Cricket Ground,6,Portugal,147.48,161.6,132.39
158,"Old Deer Park, Richmond",6,England,160.96,159.16,163.02
82,"Green Park, Kanpur",5,India,161.42,150.05,174.4
94,"ICC Academy Ground No 2, Dubai",5,United Arab Emirates,144.51,147.55,141.08
195,"Shaheed Veer Narayan Singh International Stadium, Raipur",5,India,145.21,144.16,146.32
121,Los Reyes Polo Club,5,Costa Rica,83.8,91.87,73.63
166,Prairie View Cricket Complex,5,United States of America,157.57,159.21,155.85
126,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",5,India,160.77,158.87,162.73
32,"Castle Avenue, Dublin",5,Ireland,161.97,156.54,167.83
204,"Solvangs Park, Glostrup",5,Denmark,123.35,130.32,115.49
39,"Clontarf Cricket Club Ground, Dublin",4,Ireland,143.97,142.25,146.06
99,"International Sports Stadium, Coffs Harbour",4,Australia,159.34,161.16,157.33
165,"Police Park, East London",4,South Africa,168.92,179.37,157.53
83,"Greenfield International Stadium, Thiruvananthapuram",4,India,157.88,156.5,159.37
210,"St Albans Club, Buenos Aires",4,Argentina,95.03,115.1,74.44
44,"Country Club B Field, Kimberley",4,South Africa,134.71,132.55,137.23
244,"Varsity Oval, Pietermaritzburg",4,South Africa,142.15,160.62,126.33
197,"Sheikh Abu Naser Stadium, Khulna",4,Bangladesh,156.25,167.3,144.87
191,"Saxton Oval, Nelson",4,New Zealand,168.17,174.95,161.26
26,"Bridgton Sports Grounds, Oudtshoorn",4,South Africa,138.17,143.85,132.27
19,"Belgrano Athletic Club Ground, Buenos Aires",4,Argentina,143.95,179.38,108.52
18,"Beausejour Stadium, Gros Islet, St Lucia",4,West Indies,157.45,142.82,182.9
145,"Myreside, Edinburgh",4,Scotland,136.16,124.52,150.38
253,"Willowmoore Park A Field, Benoni",4,South Africa,137.68,140.55,134.51
156,"North-West University No1 Ground, Potchefstroom",4,South Africa,156.17,156.5,155.8
160,Paarl Cricket Club Ground,4,South Africa,154.78,145.89,166.91
170,"Punjab Cricket Association Stadium, Mohali, Chandigarh",4,India,146.42,154.0,138.51
164,Pierre Werner Cricket Ground,4,Luxembourg,139.09,165.65,112.52
93,"Hurlingham Club Ground, Buenos Aires",4,Argentina,108.14,103.32,114.29
240,"University of Tasmania Stadium, Launceston",3,Australia,133.39,135.67,131.09
229,"Tony Ireland Stadium, Townsville",3,Australia,120.0,111.37,130.39
12,"Barabati Stadium, Cuttack",3,India,130.81,136.99,123.88
10,Arundel Castle Cricket Club Ground,3,England,168.08,169.63,165.81
96,"ICC Global Cricket Academy, Dubai",3,United Arab Emirates,133.24,143.5,123.27
214,"Stanley Park, Blackpool",3,England,165.21,157.69,176.59
103,"John Davies Oval, Queenstown",3,New Zealand,149.52,147.85,151.37
139,"Merchant Taylors' School Ground, Northwood",3,England,179.33,186.0,172.67
187,Santarem Cricket Ground,3,Portugal,146.79,155.8,135.95
122,"Lugogo Cricket Oval, Kampala",3,Uganda,118.42,126.02,110.0
119,Lisicji Jarak Cricket Ground,3,Serbia,140.2,152.55,127.02
117,"Lalabhai Contractor Stadium, Surat",3,India,166.08,154.58,178.68
201,"Simonds Stadium, South Geelong, Victoria",3,Australia,168.47,165.33,171.67
102,"Jadavpur University Campus 2nd Ground, Kolkata",2,India,126.09,126.47,125.69
4,"Aigburth, Liverpool",2,England,136.0,128.96,143.57
8,"Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium, Visakhapatnam",2,India,149.05,144.3,153.99
255,"Windsor Park, Roseau, Dominica",2,West Indies,159.5,166.34,148.0
154,"New Williamfield No1 Oval, Stirling",2,Scotland,157.09,150.15,164.52
152,"Nevill Ground, Tunbridge Wells",2,England,174.48,170.79,178.23
118,"Lavington Sports Oval, Albury",2,Australia,181.71,183.73,179.44
116,La Manga Club Top Ground,2,Spain,160.68,163.68,157.57
130,"Malahide, Dublin",2,Ireland,145.97,153.86,134.16
221,"Ted Summerton Reserve, Moe",2,Australia,142.37,158.18,124.49
208,"Sportpark Maarschalkerweerd, Utrecht",2,Netherlands,113.04,93.46,142.34
230,"Traeger Park, Alice Springs",2,Australia,111.69,113.92,109.33
71,"GB Oval, Szodliget",2,Hungary,128.5,141.18,107.27
104,"Junction Oval, Melbourne",2,Australia,170.67,192.89,147.69
70,"Fitzherbert Park, Palmerston North",2,New Zealand,183.25,191.9,174.45
133,"Mardyke, Cork",1,Ireland,123.53,106.15,146.9
173,"Queen's Park, Invercargill",1,New Zealand,177.93,206.28,136.1
77,Geelong Cricket Ground,1,Australia,145.9,188.0,98.69
157,"Nursery Oval, Abu Dhabi",1,United Arab Emirates,126.67,112.88,143.27
76,Galle International Stadium,1,Sri Lanka,91.56,75.37,113.33
147,"National Bank Cricket Arena, Karachi",1,Pakistan,145.39,150.0,140.83
134,"Marina Ground, Corfu",1,Greece,83.7,48.26,204.44
114,"LC de Villiers Oval, Pretoria",1,South Africa,95.57,99.17,91.2
36,"Chevrolet Park, Bloemfontein",1,South Africa,134.44,142.81,126.0
30,"CBC Old Boys Cricket Club, Pretoria",1,South Africa,139.41,113.06,177.83
129,"Mainpower Oval, Rangiora",1,New Zealand,155.06,167.6,142.62
33,"Cazaly's Stadium, Cairns",1,Australia,148.0,158.0,138.0
206,"Sparta Recreational Club, Walvis Bay",1,Namibia,124.5,118.03,131.19
203,"Sky Stadium, Wellington",1,New Zealand,201.16,198.35,204.0
40,"Cobham Oval (New), Whangarei",1,New Zealand,104.53,109.19,100.0
238,"University of Free State Ground, Bloemfontein",1,South Africa,163.56,185.0,131.68
237,University of Doha for Science and Technology,1,Qatar,157.19,164.26,150.0
35,"Chatsworth Stadium, Durban",1,South Africa,117.04,139.0,95.61
66,"Ekana International Cricket Stadium, Lucknow",1,India,145.29,181.97,108.0
